exchange,symbol,timeframe,close,volume,RSI,zscore,%B,ATRstretch,VWAPgap,VWAPgap_daily,BTC_rel_zscore,VolumeZScore,RVOL,BBW,ADX,flags_met
coinbase,BLAST-USD,1h,0.00377,2180760.0,56.55782809146289,0.5640501037652705,0.7433515945445488,1.0447824060822588,0.05436508096454691,-1.1503471326106148e-16,0.48078009526775894,-0.35376539920625527,0.0344267740758359,0.0987834681599965,12.380393266374956,3
coinbase,DEGEN-USD,1h,0.007493,147051322.0,52.243978672378894,0.7294103759999755,0.4180260297097297,0.25505554029056465,0.2433242453293254,-1.1575627091797723e-16,0.7019067393274838,-1.1568590187442824,0.49695651099114574,0.22821641888839408,43.12821682625711,3
coinbase,DOGE-USD,1h,0.23903,5496966.1,61.21768298415007,0.704820248704471,0.7539738257145011,1.5644984845086884,0.35201590334823507,0.0,0.731249744267241,-0.9059889167921396,0.42839151666299136,0.11490003679799454,25.383705565774438,3
coinbase,DOGINME-USD,1h,0.0011013,374667579.0,52.95464536475435,1.0198665389376154,0.5314172429772556,0.16791385664745762,0.45674410538525057,0.0,1.010095471776528,-0.44189698996077914,0.4953366018982497,0.5535400377548781,51.89701999439375,3
coinbase,GST-USD,1h,0.012746,110829128.08,81.98830570111458,3.4978386042997616,1.1777734231655752,3.5579609227909126,0.3765619638273364,0.0,3.5125907931743074,1.2060996941759796,1.981675818930172,0.47896732751004656,46.76211665817687,3
coinbase,JASMY-USD,1h,0.02042,13466751.0,56.544226943874584,0.8073376634553291,0.7002820780355925,0.8694542275651339,0.4159399125345146,0.0,0.7349113091481151,-0.6064268275968198,0.6017114079972847,0.09315405990886394,16.419613465012514,3
coinbase,KEYCAT-USD,1h,0.007378,11734294.0,53.84455717359863,0.8380337041613719,0.5086147883249796,0.02312946139943898,0.37452217117959946,0.0,0.7998913980190144,-0.7367169653055594,0.26532200994168137,0.1985772979016401,36.70826134292347,3
coinbase,MOODENG-USD,1h,0.3121,6830580.09,58.620948811281124,1.2684208176435603,0.6037650629664074,0.6255530718463032,0.9342482936598506,-1.778633490267793e-16,1.284451752926003,-1.3250770277474855,0.2774866966214062,0.4229027834056763,29.295667034707783,3
coinbase,PEPE-USD,1h,1.429e-05,78831253557.0,53.4450456087389,0.5045912817813719,0.5711306026103365,0.375951233228814,0.24375329346434502,0.0,0.5032844462193099,-1.0943057064708543,0.38898817318522366,0.139096149473988,18.585595817512488,3
coinbase,SHIB-USD,1h,1.623e-05,13418129470.0,58.07915630102171,0.39605757359444993,0.711042881769093,1.3754274767891934,0.21662396656356267,0.0,0.351434427692005,-1.2286737396582588,0.32127165332570634,0.1106950020282617,23.269649573836652,3
coinbase,SPELL-USD,1h,0.0006633,40423703.0,56.18341056530321,0.7245261760772512,0.7221939401583817,1.1893872093788702,0.1274009366731418,0.0,0.7291026026959297,-0.2789115924005365,0.776055810026677,0.0918766839266576,19.765121592705434,3
coinbase,BONK-USD,1h,2.301e-05,64762452220.0,52.40956554210313,0.22743140376379095,0.6178084255903463,0.433605492130918,0.38004996483458825,0.0,0.1465866943085767,-0.26766864083354003,0.8897609639468191,0.11042768093811929,22.155882149898215,2
coinbase,BTC-USD,1h,103890.04,149.79935698,52.69647330838463,0.47323602165295925,0.569533079947266,0.3235543384995479,0.1716545989824433,0.0,,-1.078041842400752,0.38283210944467067,0.02647798232925719,16.64157297501335,2
coinbase,MOBILE-USD,1h,0.000508,10715314.0,52.167738542793785,0.3607820192821828,0.5956259141841261,0.49852802084071113,0.020191016215930443,0.0,0.22778242672055474,-0.7842501737486022,0.2941211935893626,0.086133329202699,18.00777884380766,2
coinbase,TURBO-USD,1h,0.005844,6322543.0,50.18036661003595,-0.08776511929029963,0.5068823370334156,0.01986503133105383,0.06990891704815394,0.0,-0.23197068550802938,-1.1847417091096153,0.3214534128554266,0.0708941768752571,14.83468266548766,2
